x,y
-0.8900,2.4017
-0.9135,2.4318
-0.9371,2.4618
-0.9607,2.4917
-0.9843,2.5216
-1.0079,2.5514
-1.0315,2.5811
-1.0551,2.6108
-1.0787,2.6405
-1.1022,2.6701
-1.1257,2.6996
-1.1491,2.7291
-1.1725,2.7586
-1.1957,2.7881
-1.2189,2.8175
-1.2419,2.8469
-1.2649,2.8762
-1.2877,2.9054
-1.3104,2.9345
-1.3329,2.9635
-1.3553,2.9922
-1.3776,3.0208
-1.3996,3.0492
-1.4215,3.0773
-1.4432,3.1051
-1.4647,3.1326
-1.4861,3.1598
-1.5072,3.1867
-1.5280,3.2132
-1.5487,3.2393
-1.5691,3.2650
-1.5893,3.2902
-1.6092,3.3150
-1.6289,3.3392
-1.6483,3.3629
-1.6674,3.3861
-1.6862,3.4088
-1.7047,3.4308
-1.7229,3.4522
-1.7408,3.4729
-1.7584,3.4930
-1.7756,3.5124
-1.7925,3.5311
-1.8091,3.5490
-1.8253,3.5661
-1.8411,3.5825
-1.8566,3.5980
-1.8717,3.6127
-1.8863,3.6265
-1.9006,3.6394
-1.9145,3.6514
-1.9279,3.6624
-1.9410,3.6725
-1.9535,3.6816
-1.9657,3.6896
-1.9774,3.6966
-1.9886,3.7026
-1.9993,3.7074
-2.0096,3.7111
-2.0194,3.7137
